,City,Country,Latitude,Longitude,Date Time,Temperature,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Bluff,NZ,-46.6,168.33,1595011950,35.73,88,25,6.02
1,La Ronge,CA,55.1,-105.28,1595011950,59.0,93,90,9.17
2,Port Alfred,ZA,-33.59,26.89,1595011951,64.76,33,0,9.78
3,Pochutla,MX,15.74,-96.47,1595011951,91.4,49,20,5.66
4,Whitianga,NZ,-36.83,175.7,1595011951,55.53,85,99,9.6
5,Ronneby,SE,56.21,15.28,1595011951,64.4,88,1,6.93
6,Kavaratti,IN,10.57,72.64,1595011951,83.17,80,100,20.29
7,Torbay,CA,47.67,-52.73,1595011951,52.0,100,90,19.46
8,Rikitea,PF,-23.12,-134.97,1595011951,73.27,82,100,10.2
9,Palmer,US,42.16,-72.33,1595011951,71.01,88,90,3.36
10,Busselton,AU,-33.65,115.33,1595011952,46.0,73,75,8.79
11,Cidreira,BR,-30.18,-50.21,1595011952,61.77,86,3,6.44
12,New Norfolk,AU,-42.78,147.06,1595011952,37.99,91,100,2.89
13,Corinth,GR,37.94,22.96,1595011952,82.99,62,4,1.01
14,Mar del Plata,AR,-38.0,-57.56,1595011733,53.6,71,100,9.17
15,Saskylakh,RU,71.92,114.08,1595011952,49.15,85,100,10.25
16,Praia da Vitória,PT,38.73,-27.07,1595011952,71.6,78,75,11.95
17,Mount Gambier,AU,-37.83,140.77,1595011669,48.2,76,100,11.41
18,Ranot,TH,7.78,100.32,1595011953,81.32,77,41,3.87
19,Mahébourg,MU,-20.41,57.7,1595011953,71.6,73,75,12.75
20,Aksay,RU,47.26,39.87,1595011953,66.99,88,20,11.18
21,Caborca,MX,30.58,-111.1,1595011953,98.01,34,0,1.99
22,Noumea,NC,-22.28,166.46,1595011953,66.0,82,40,2.24
23,Khatanga,RU,71.97,102.5,1595011953,39.33,93,100,12.62
24,Atuona,PF,-9.8,-139.03,1595011953,79.48,76,4,16.22
25,Mangai,CD,-4.05,19.53,1595011954,76.28,60,8,1.21
26,Bol,TD,13.46,14.71,1595011954,82.09,69,94,4.38
27,Puerto Ayora,EC,-0.74,-90.35,1595011954,77.0,65,49,11.41
28,Hobart,AU,-42.88,147.33,1595011709,39.2,80,100,5.82
29,Punta Arenas,CL,-53.15,-70.92,1595011954,30.2,92,75,8.05
30,Devonport,AU,-41.17,146.35,1595011954,44.01,96,100,3.87
31,Bathsheba,BB,13.22,-59.52,1595011954,87.8,62,40,16.11
32,Merauke,ID,-8.47,140.33,1595011954,74.73,80,12,14.65
33,Longyearbyen,SJ,78.22,15.64,1595011954,50.0,76,20,10.29
34,Saldanha,ZA,-33.01,17.94,1595011955,59.0,58,0,6.93
35,Thompson,CA,55.74,-97.86,1595011955,69.8,60,75,4.7
36,Sisimiut,GL,66.94,-53.67,1595011955,53.87,63,0,4.25
37,Provideniya,RU,64.38,-173.3,1595011955,52.43,85,98,1.66
38,Rabo de Peixe,PT,37.8,-25.58,1595011955,69.8,77,75,9.17
39,Ushuaia,AR,-54.8,-68.3,1595011875,30.2,86,21,1.68
40,Mahajanga,MG,-15.72,46.32,1595011956,77.0,41,40,10.29
41,Cape Town,ZA,-33.93,18.42,1595011773,62.01,55,0,8.05
42,Severo-Kuril'sk,RU,50.68,156.12,1595011956,50.25,89,99,8.23
43,Balfour,ZA,-26.66,28.59,1595011956,51.01,30,0,2.62
44,Raudeberg,NO,61.99,5.14,1595011956,59.0,76,40,11.41
45,Hithadhoo,MV,-0.6,73.08,1595011956,83.66,76,100,10.22
46,Alghero,IT,40.56,8.32,1595011956,73.4,73,40,6.93
47,Alexandria,EG,31.22,29.96,1595011791,78.4,64,0,12.66
48,Bredasdorp,ZA,-34.53,20.04,1595011957,51.8,71,0,1.12
49,Butaritari,KI,3.07,172.79,1595011957,82.35,78,5,16.62
50,Tasiilaq,GL,65.61,-37.64,1595011957,60.8,29,5,8.05
51,Pevek,RU,69.7,170.31,1595011957,42.42,91,23,1.36
52,Port Lincoln,AU,-34.73,135.87,1595011957,58.32,43,100,20.36
53,Saint-Augustin,CA,51.23,-58.65,1595011957,78.06,30,100,12.77
54,Bokajān,IN,26.02,93.78,1595011957,77.16,93,100,2.71
55,Barinas,VE,8.62,-70.21,1595011958,85.71,65,49,4.99
56,Chengde,CN,40.97,117.94,1595011958,67.95,92,100,1.54
57,Albany,US,42.6,-73.97,1595011958,75.99,84,74,4.68
58,Clyde River,CA,70.47,-68.59,1595011958,44.6,75,75,20.8
59,Hamilton,US,39.18,-84.53,1595011958,91.0,51,40,1.95
60,Chokurdakh,RU,70.63,147.92,1595011958,44.78,65,0,6.2
61,Qaanaaq,GL,77.48,-69.36,1595011958,46.22,61,100,7.65
62,Castro,BR,-24.79,-50.01,1595011958,70.56,62,3,4.72
63,Flinders,AU,-34.58,150.86,1595011959,55.99,74,30,1.99
64,Hermanus,ZA,-34.42,19.23,1595011959,61.86,51,0,6.73
65,Saint-Philippe,RE,-21.36,55.77,1595011959,68.0,72,75,5.82
66,Arraial do Cabo,BR,-22.97,-42.03,1595011959,73.4,69,0,12.75
67,Ruska Poliana,UA,49.42,31.92,1595011959,66.0,73,1,6.58
68,Upernavik,GL,72.79,-56.15,1595011959,46.15,64,13,8.32
69,Carnarvon,AU,-24.87,113.63,1595011960,55.4,82,0,11.41
70,Mataura,NZ,-46.19,168.86,1595011960,28.58,97,0,2.37
71,Malchin,DE,53.73,12.78,1595011960,68.0,55,20,5.82
72,Daru,PG,-9.08,143.21,1595011960,75.58,84,94,13.13
73,Kalawit,PH,8.07,122.52,1595011960,79.57,80,18,4.41
74,George Town,MY,5.41,100.34,1595011829,78.8,94,20,4.34
75,Quelimane,MZ,-17.88,36.89,1595011960,65.34,85,33,7.92
76,Kapaa,US,22.08,-159.32,1595011960,80.01,94,40,4.7
77,Vaini,TO,-21.2,-175.2,1595011961,73.4,94,75,6.93
78,Lüderitz,NA,-26.65,15.16,1595011961,71.6,19,0,8.05
79,Río Gallegos,AR,-51.62,-69.22,1595011961,26.6,68,90,1.12
80,Hastings,GB,50.86,0.57,1595011961,71.01,64,0,4.0
81,Hambantota,LK,6.12,81.12,1595011961,80.6,88,40,5.82
82,Karatuzskoye,RU,53.61,92.87,1595011961,52.84,90,0,3.31
83,Marzuq,YE,14.4,46.47,1595011961,90.0,24,96,8.19
84,Deputatsky,RU,69.3,139.9,1595011961,38.53,82,68,5.01
85,Kalmunai,LK,7.42,81.82,1595011961,82.81,76,100,3.74
86,Letpadan,MM,17.78,95.75,1595011962,78.12,93,100,6.73
87,Bethel,US,41.37,-73.41,1595011959,73.99,88,90,5.82
88,Moroni,KM,-11.7,43.26,1595011962,78.8,54,20,4.7
89,Stephenville,US,32.22,-98.2,1595011962,97.0,32,1,9.17
90,Arrondissement de Cahors,FR,44.42,1.33,1595011962,78.8,47,11,6.93
91,Hualmay,PE,-11.1,-77.61,1595011962,65.35,66,11,10.49
92,Vila Velha,BR,-20.33,-40.29,1595011911,77.0,57,20,11.41
93,Tambura,SS,5.6,27.47,1595011963,69.73,93,100,2.8
94,Rome,US,43.21,-75.46,1595011925,80.6,61,75,11.41
95,Avarua,CK,-21.21,-159.78,1595011963,68.0,72,18,3.36
96,Sokoni,TZ,-6.43,39.55,1595011963,71.6,73,0,4.7
97,Gornopravdinsk,RU,60.05,69.9,1595011963,71.11,89,100,11.07
98,Nikolskoye,RU,59.7,30.79,1595011963,68.0,63,31,6.71
99,Kandi,BJ,11.13,2.94,1595011964,79.21,74,22,3.2
100,Mackenzie,CA,55.3,-123.17,1595011964,59.0,67,40,1.28
101,Jamestown,US,42.1,-79.24,1595011964,81.0,61,40,11.41
102,Dongsheng,CN,39.82,109.98,1595011964,62.11,77,50,3.49
103,Farsund,NO,58.09,6.8,1595011964,61.0,94,100,11.03
104,Hannibal,US,39.71,-91.36,1595011964,91.4,52,40,5.82
105,Taoudenni,ML,22.68,-3.98,1595011965,106.75,10,29,0.36
106,Salamanca,ES,40.83,-6.0,1595011965,90.0,22,0,3.0
107,Geraldton,AU,-28.77,114.6,1595011965,46.4,87,40,4.7
108,Stromness,GB,58.97,-3.3,1595011782,57.2,67,51,5.82
109,Los Llanos de Aridane,ES,28.66,-17.92,1595011965,75.99,78,40,11.41
110,Lorengau,PG,-2.02,147.27,1595011965,82.67,71,100,5.77
111,Murakami,JP,38.23,139.48,1595011965,67.01,85,100,4.72
112,Yangi Marg`ilon,UZ,40.43,71.72,1595011965,80.6,36,100,9.17
113,Lebu,CL,-37.62,-73.65,1595011966,54.18,85,0,16.28
114,Banmankhi,IN,25.88,87.18,1595011966,84.56,73,100,5.5
115,Dargaville,NZ,-35.93,173.88,1595011966,57.43,92,100,8.08
116,Dikson,RU,73.51,80.55,1595011966,40.23,95,99,8.9
117,Puquio,PE,-14.7,-74.13,1595011966,66.78,26,5,3.67
118,Les Escoumins,CA,48.11,-69.02,1595011966,55.58,100,100,7.07
119,Basco,PH,20.45,121.97,1595011967,84.83,77,100,8.55
120,Souillac,MU,-20.52,57.52,1595011967,71.6,73,75,12.75
121,Nema,RU,57.51,50.5,1595011967,56.86,92,0,5.08
122,Wacheng,CN,33.78,114.52,1595011967,69.84,97,100,7.36
123,Kahului,US,20.89,-156.47,1595011967,82.4,61,20,3.36
124,East London,ZA,-33.02,27.91,1595011967,62.96,44,0,7.61
125,Olafsvik,IS,64.89,-23.71,1595011967,45.32,81,79,35.46
126,Westport,US,41.14,-73.36,1595011919,75.99,94,90,4.7
127,Mayo,US,38.89,-76.51,1595011967,91.99,79,40,13.87
128,San Patricio,MX,19.22,-104.7,1595011968,91.4,63,75,7.49
129,Coahuayana Viejo,MX,18.73,-103.68,1595011968,78.8,78,75,4.47
130,Zhezkazgan,KZ,47.8,67.71,1595011968,81.99,26,97,9.06
131,Paamiut,GL,61.99,-49.67,1595011968,47.66,69,0,7.74
132,Narganá,PA,9.44,-78.59,1595011968,82.9,79,100,10.27
133,Faanui,PF,-16.48,-151.75,1595011968,77.74,77,0,10.87
134,Baiyin,CN,36.56,104.21,1595011968,61.0,100,40,2.24
135,Hilo,US,19.73,-155.09,1595011968,75.2,88,90,4.7
136,Zyryanka,RU,65.75,150.85,1595011968,47.43,76,4,8.3
137,Verkhnyaya Inta,RU,65.98,60.31,1595011969,60.62,88,100,10.74
138,Erzin,TR,36.96,36.2,1595011969,79.0,78,0,2.48
139,Tabora,TZ,-5.02,32.8,1595011969,64.4,55,100,4.94
140,Yulara,AU,-25.24,130.99,1595011969,41.0,35,0,6.93
141,Marsá Maţrūḩ,EG,31.35,27.25,1595011725,76.01,82,1,8.97
142,Hay River,CA,60.82,-115.8,1595011969,66.2,68,75,9.17
143,Shubarshi,KZ,48.59,57.19,1595011970,85.62,20,0,8.52
144,Dagana,MR,16.52,-15.51,1595011970,100.4,39,40,2.24
145,Kompaniyivka,UA,48.25,32.21,1595011970,66.36,69,0,6.26
146,Cabo San Lucas,MX,22.89,-109.91,1595011855,89.01,55,5,11.41
147,Airai,TL,-8.93,125.41,1595011970,56.17,100,13,3.49
148,Vila Franca do Campo,PT,37.72,-25.43,1595011970,69.8,77,75,9.17
149,Lompoc,US,34.64,-120.46,1595011970,70.0,64,10,4.7
150,Kununurra,AU,-15.77,128.73,1595011970,53.6,34,0,4.43
151,Vicuña,CL,-30.03,-70.71,1595011971,53.6,81,75,13.87
152,Ribeira Grande,PT,38.52,-28.7,1595011971,73.4,64,40,11.41
153,Vostok,RU,46.49,135.88,1595011971,60.33,95,0,2.98
154,Puerto Madryn,AR,-42.77,-65.04,1595011967,54.36,62,100,24.36
155,Nabire,ID,-3.37,135.48,1595011971,75.61,91,94,4.5
156,Yinchuan,CN,38.47,106.27,1595011971,74.97,44,100,4.92
157,Fort Nelson,CA,58.81,-122.7,1595011775,62.6,82,75,6.93
158,Dingle,PH,11.0,122.67,1595011971,77.58,79,100,5.08
159,Norman Wells,CA,65.28,-126.83,1595011972,68.0,64,20,4.7
160,Linxia Chengguanzhen,CN,35.6,103.21,1595011972,57.31,86,100,2.19
161,Hervey Bay,AU,-25.3,152.85,1595011972,50.0,81,2,5.82
162,Khovd,MN,48.01,91.64,1595011972,63.79,45,0,0.81
163,Barrow,US,71.29,-156.79,1595011808,35.6,80,90,13.87
164,Mauá,BR,-23.67,-46.46,1595011972,75.2,53,4,4.7
165,Sirte,LY,31.21,16.59,1595011972,78.01,81,0,8.81
166,Moose Factory,CA,51.26,-80.61,1595011972,77.0,53,40,16.11
167,Cherskiy,RU,68.75,161.3,1595011972,45.63,76,4,11.21
168,Myitkyina,MM,25.38,97.4,1595011973,74.16,96,100,1.5
169,Beaumont,US,30.09,-94.1,1595011736,88.0,70,75,11.41
170,Kruisfontein,ZA,-34.0,24.73,1595011973,58.37,30,0,8.55
171,Ponta do Sol,PT,32.67,-17.1,1595011973,73.4,78,40,9.17
172,Kupang,ID,-10.17,123.58,1595011973,75.81,79,0,12.73
173,Gulu,UG,2.77,32.3,1595011973,64.76,94,100,2.37
174,Anadyr,RU,64.75,177.48,1595011973,48.2,100,40,10.07
175,Ketchikan,US,55.34,-131.65,1595011974,57.2,76,90,4.7
176,Nanning,CN,22.82,108.32,1595011974,80.6,88,100,2.24
177,Pskov,RU,57.81,28.35,1595011730,66.2,52,5,4.47
178,Yanam,IN,16.73,82.22,1595011974,80.8,84,86,6.62
179,Coquimbo,CL,-29.95,-71.34,1595011974,53.6,81,75,13.87
180,Bairiki Village,KI,1.33,172.98,1595011974,80.6,83,20,8.05
181,Klaksvík,FO,62.23,-6.59,1595011974,50.0,93,0,23.04
182,Kutum,SD,14.2,24.67,1595011974,83.34,38,96,7.34
183,Juegang,CN,32.32,121.19,1595011974,77.0,94,100,9.19
184,Florianópolis,BR,-27.61,-48.5,1595011848,71.01,73,7,6.93
185,Port Elizabeth,ZA,-33.92,25.57,1595011975,57.2,30,0,4.7
186,Raduzhny,RU,62.1,77.47,1595011975,57.15,68,37,7.61
187,Shelburne,CA,44.08,-80.2,1595011975,86.0,48,1,8.05
188,Port Hardy,CA,50.7,-127.42,1595011975,60.8,72,40,14.99
189,Hirara,JP,24.8,125.28,1595011975,84.92,82,97,19.24
190,Lagos,NG,6.58,3.75,1595011824,75.74,86,100,6.38
191,Ahipara,NZ,-35.17,173.17,1595011975,58.48,91,100,8.25
192,Golpāyegān,IR,33.45,50.29,1595011975,74.07,39,100,3.36
193,Blackwater,AU,-23.58,148.88,1595011976,46.74,65,0,4.72
194,Ürümqi,CN,43.8,87.6,1595011976,82.4,30,0,8.95
195,Kenai,US,60.55,-151.26,1595011976,57.99,87,90,5.82
196,Yenagoa,NG,4.92,6.26,1595011976,75.18,92,100,4.12
197,Ilulissat,GL,69.22,-51.1,1595011976,55.4,43,5,5.82
198,Oistins,BB,13.07,-59.53,1595011976,87.8,62,40,16.11
199,Karlshamn,SE,56.17,14.86,1595011976,64.4,88,16,6.93
200,The Valley,AI,18.22,-63.06,1595011977,89.6,58,40,11.41
201,Beringovskiy,RU,63.05,179.32,1595011977,51.78,81,94,1.36
202,Hasaki,JP,35.73,140.83,1595011977,66.2,100,75,6.93
203,Hong Kong,HK,22.29,114.16,1595011977,86.0,70,100,13.0
204,Guerrero Negro,MX,27.98,-114.06,1595011977,80.06,47,0,11.9
205,Saint Paul Harbor,US,57.79,-152.41,1595011923,57.2,87,90,5.82
206,Tambovka,RU,50.1,128.05,1595011977,68.0,94,40,4.47
207,Dunedin,NZ,-45.87,170.5,1595011826,43.0,84,17,4.0
208,Huarmey,PE,-10.07,-78.15,1595011977,66.85,65,2,11.3
209,Alice Springs,AU,-23.7,133.88,1595011730,39.2,38,0,7.36
210,Acarí,PE,-15.43,-74.62,1595011978,69.03,52,57,9.17
211,Tignère,CM,7.37,12.65,1595011978,65.7,100,100,2.75
212,Sioux Lookout,CA,50.1,-91.92,1595011945,78.8,44,40,8.05
213,Grand Gaube,MU,-20.01,57.66,1595011978,68.0,78,1,5.01
214,Phan Thiet,VN,10.93,108.1,1595011978,77.9,87,67,2.62
215,Outjo,NA,-20.12,16.15,1595011978,53.8,38,0,12.03
216,Husavik,IS,66.04,-17.34,1595011978,46.4,81,90,21.92
217,Bengkulu,ID,-3.8,102.27,1595011978,75.78,88,71,4.43
218,Polunochnoye,RU,60.87,60.42,1595011978,62.47,98,100,6.67
219,Tutóia,BR,-2.76,-42.27,1595011979,86.05,57,54,4.74
220,Port Blair,IN,11.67,92.75,1595011979,80.6,81,97,7.7
221,Oodweyne,SO,9.41,45.06,1595011979,76.42,48,94,15.97
222,Klamath Falls,US,42.22,-121.78,1595011979,82.99,31,1,3.36
223,Kendari,ID,-3.94,122.5,1595011979,73.87,93,3,2.3
224,Kyabé,TD,9.45,18.94,1595011979,74.43,89,69,1.99
225,Amapá,BR,1.0,-52.0,1595011979,84.88,71,77,3.83
226,Chepareria,KE,1.31,35.2,1595011979,61.16,86,100,2.39
227,Baghlan,AF,36.13,68.71,1595011979,87.96,30,97,3.44
228,Luau,AO,-10.71,22.22,1595011980,61.23,36,0,6.04
229,Kampong Thom,KH,12.71,104.89,1595011980,77.2,94,100,4.41
230,Grindavik,IS,63.84,-22.43,1595011980,46.4,70,75,27.51
231,Huilong,CN,31.81,121.66,1595011980,77.0,98,100,1.99
232,Āgaro,ET,7.85,36.65,1595011980,60.12,88,92,2.37
233,Haapiti,PF,-17.57,-149.87,1595011980,77.0,78,75,6.93
234,Yellowknife,CA,62.46,-114.35,1595011723,69.01,52,75,6.93
235,Zverinogolovskoye,RU,54.46,64.85,1595011980,72.7,75,95,6.62
236,Touros,BR,-5.2,-35.46,1595011814,82.4,74,40,10.29
237,Kudahuvadhoo,MV,2.67,72.89,1595011981,83.98,69,76,4.9
238,Jinka,ET,5.65,36.65,1595011981,65.1,77,98,0.89
239,Tuktoyaktuk,CA,69.45,-133.04,1595011981,50.0,76,40,11.41
240,Kaeo,NZ,-35.1,173.78,1595011981,55.99,3,100,9.57
241,Yar-Sale,RU,66.83,70.83,1595011981,53.51,67,95,10.96
242,Codrington,AU,-38.27,141.97,1595011981,47.12,71,100,15.12
243,Abilene,US,32.45,-99.73,1595011708,97.0,41,1,5.82
244,Keansburg,US,40.44,-74.13,1595011981,84.0,75,59,7.16
245,Beni,CD,0.5,29.47,1595011982,63.82,95,51,1.61
246,Henties Bay,NA,-22.12,14.28,1595011982,65.41,43,0,9.26
247,Kamenka,RU,51.32,42.77,1595011982,72.0,46,100,3.0
248,Nemuro,JP,43.32,145.57,1595011982,59.02,93,65,10.4
249,Akdepe,TM,42.06,59.38,1595011982,87.8,35,0,6.93
250,San Quintín,MX,30.48,-115.95,1595011982,74.53,63,0,12.8
251,Port Hedland,AU,-20.32,118.57,1595011982,60.8,87,90,4.7
252,Muhos,FI,64.81,25.99,1595011982,69.8,60,3,4.7
253,Svetlaya,RU,46.54,138.33,1595011982,65.25,85,0,3.51
254,Kankan,GN,10.39,-9.31,1595011983,72.52,91,50,4.74
255,Marawi,PH,8.0,124.29,1595011983,75.0,85,39,5.99
256,Constitución,CL,-35.33,-72.42,1595011983,55.51,92,100,20.4
257,Narsaq,GL,60.92,-46.05,1595011983,68.0,24,20,8.05
258,Bedēsa,ET,8.9,40.78,1595011983,63.48,78,72,3.22
259,Saint George,US,37.1,-113.58,1595011851,99.0,17,1,6.93
260,Deer Lake,CA,49.17,-57.43,1595011983,82.4,32,75,10.29
261,Tuatapere,NZ,-46.13,167.68,1595011805,37.33,84,67,3.56
262,Margate,GB,51.38,1.39,1595011983,75.0,63,0,3.0
263,North Bend,US,43.41,-124.22,1595011983,64.99,77,90,17.22
264,Mogadishu,SO,2.04,45.34,1595011984,77.74,76,100,20.13
265,Ucluelet,CA,48.93,-125.55,1595011984,62.01,82,40,6.93
266,Amahai,ID,-3.33,128.92,1595011984,82.0,96,100,1.01
267,Gulmarg,IN,34.05,74.39,1595011984,57.76,77,58,4.56
268,Kiunga,PG,-6.12,141.29,1595011984,72.07,97,100,3.02
269,Kavieng,PG,-2.57,150.8,1595011984,82.6,71,98,5.66
270,Pangnirtung,CA,66.15,-65.71,1595011984,66.2,55,90,5.82
