,Country,Latitude,Longitude,Date Time,Temperature,Humidity,Cloudiness,Wind Speed
273,NC,-20.23,164.02,1594933165,69.57,58,20,10.38
274,QA,25.29,51.53,1594933084,95.0,63,0,4.7
275,RU,52.12,83.31,1594933165,59.02,87,27,9.01
276,US,27.88,-80.5,1594933165,89.01,69,40,10.07
277,VE,10.2,-71.31,1594933165,86.68,62,28,6.24
278,AR,-31.54,-68.54,1594933165,63.91,28,0,4.61
279,MX,20.51,-86.95,1594932938,91.4,63,20,11.41
280,TW,24.76,121.75,1594933166,84.0,78,20,1.12
281,PF,-22.43,-151.33,1594933166,69.08,68,38,10.11
282,KE,-2.27,40.9,1594933166,77.38,64,92,24.63
283,BR,-12.39,-46.57,1594933166,80.98,35,47,5.68
284,ZA,-32.16,25.62,1594933166,46.42,41,0,5.23
285,AU,-23.13,150.73,1594933167,46.4,61,0,6.93
286,NZ,-35.17,173.17,1594933167,58.59,90,100,10.09
287,MX,30.48,-115.95,1594933167,72.84,65,1,14.34
288,PK,24.7,70.18,1594933167,87.62,65,48,2.71
289,ES,40.39,-5.76,1594933167,84.0,27,23,3.0
290,JP,34.98,139.87,1594933167,68.0,100,75,1.12
291,UA,45.4,34.76,1594933168,65.5,64,99,3.58
292,BD,20.86,92.31,1594933168,79.83,88,100,6.04
293,IN,27.15,74.85,1594933168,90.23,52,3,8.23
294,BR,-23.78,-45.36,1594933168,66.96,79,71,11.1
295,SB,-10.45,161.92,1594933168,78.73,78,22,7.78
296,GB,58.97,-3.3,1594933168,57.2,100,100,2.24
297,BJ,6.5,2.6,1594933169,77.0,88,20,6.93
298,RU,59.24,163.07,1594933169,56.01,93,100,1.7
299,US,41.5,-81.7,1594932977,84.0,78,90,6.93
300,FI,61.06,28.19,1594933169,55.4,76,0,1.12
301,PH,11.0,122.67,1594933169,76.37,88,19,1.86
302,DE,51.12,13.12,1594933167,57.0,96,23,3.2
303,MY,5.34,116.16,1594933169,75.2,94,20,3.36
304,PH,8.0,124.29,1594933169,73.99,91,100,5.99
305,PF,-16.48,-151.75,1594933170,75.78,87,100,15.66
306,US,35.98,-114.83,1594933166,106.0,8,1,18.34
307,BR,-17.81,-50.6,1594933170,77.04,35,0,5.3
308,AW,12.52,-70.03,1594933098,87.8,62,20,23.04
309,BR,-22.92,-42.82,1594933170,70.0,73,75,6.93
310,SA,25.02,37.27,1594932919,82.71,70,0,5.75
311,ZW,-18.37,26.5,1594933170,56.61,41,0,9.84
312,CN,41.81,126.91,1594933171,64.24,88,4,1.34
313,CN,18.8,110.4,1594933171,82.06,85,96,11.39
314,IL,31.61,34.76,1594933171,79.0,70,0,1.36
315,BR,-8.01,-34.86,1594933040,78.8,74,40,16.11
316,HT,18.2,-73.75,1594933171,84.83,66,5,8.9
317,GL,60.14,-45.24,1594933171,51.94,52,51,12.03
318,FR,49.55,0.19,1594933172,60.8,87,25,6.93
319,ZA,-34.05,23.37,1594933172,58.03,41,44,4.85
320,RU,49.58,111.98,1594932921,52.97,82,97,8.12
321,BB,13.22,-59.52,1594933172,86.0,66,40,14.99
322,RU,63.9,122.76,1594933172,60.53,84,8,6.46
323,CL,-25.4,-70.48,1594933172,64.99,48,20,5.12
324,ML,22.68,-3.98,1594932980,94.39,31,100,5.1
325,TR,41.25,32.69,1594933172,64.67,83,75,2.44
326,MV,0.53,72.93,1594933172,84.36,67,71,3.87
327,US,35.05,-78.87,1594933173,93.99,43,1,4.7
328,ID,-0.89,119.87,1594933173,73.58,80,100,3.29
329,CI,5.14,-5.02,1594933173,75.02,85,39,9.46
330,RU,65.99,57.53,1594932894,51.42,73,70,13.69
331,IN,10.57,72.64,1594933173,82.92,80,99,24.67
332,BR,-20.33,-40.29,1594933174,71.6,73,40,9.17
333,RU,62.55,155.55,1594933174,49.44,92,100,8.01
334,US,33.19,-82.53,1594933174,93.2,49,1,8.05
335,SK,48.22,18.61,1594933174,66.99,74,100,5.99
336,HU,47.32,18.41,1594933174,69.01,77,100,10.29
337,UA,47.25,35.71,1594933174,68.23,60,100,5.14
338,CN,41.99,122.83,1594933174,71.6,88,40,4.47
339,RU,68.05,166.44,1594933175,45.82,88,100,1.77
340,CF,5.03,25.14,1594933175,69.98,94,100,1.36
341,US,64.84,-147.72,1594933119,63.0,82,90,1.79
342,PT,37.73,-25.67,1594933175,69.8,77,75,9.17
343,CA,49.68,-83.67,1594933175,81.52,35,98,12.55
344,AO,-11.78,19.92,1594933176,56.34,38,0,7.9
345,ES,42.47,-2.45,1594933056,66.2,68,45,9.17
346,BR,-12.93,-49.83,1594933176,82.9,35,3,2.08
347,UG,2.53,34.67,1594933176,65.5,80,100,2.01
348,US,43.47,-112.03,1594933176,82.99,20,1,10.29
349,MG,-14.9,50.28,1594933177,69.62,81,58,7.54
350,CA,53.83,-101.25,1594933177,68.0,60,75,16.11
351,BR,-9.67,-35.74,1594933177,77.0,65,40,13.87
352,MX,17.96,-102.2,1594933177,87.67,67,55,8.9
353,CA,47.17,-55.15,1594933177,57.51,71,94,13.27
354,DK,56.11,10.17,1594933177,59.0,82,1,7.74
355,RU,55.23,63.3,1594933177,68.49,76,0,6.89
356,MX,16.86,-99.89,1594933028,89.6,70,40,4.7
357,CI,4.42,-7.35,1594933178,74.89,79,82,10.04
358,UY,-33.7,-53.46,1594933178,49.93,87,81,5.46
359,NO,63.87,11.3,1594933178,62.6,77,80,13.87
360,US,39.36,-74.42,1594933178,80.01,69,75,12.75
361,CN,47.91,123.5,1594933178,70.12,80,2,5.86
362,ID,1.17,108.97,1594933179,77.18,89,99,4.27
363,SB,-8.77,160.7,1594933179,78.93,75,61,6.26
364,RU,42.43,130.64,1594933179,63.84,95,88,0.29
365,RU,56.41,103.11,1594933179,45.28,93,8,6.71
366,AU,-36.77,144.28,1594933179,34.0,54,0,2.13
367,TR,38.83,28.17,1594933179,73.4,53,5,10.29
368,IN,12.33,76.86,1594933180,70.93,89,90,11.41
369,ID,-3.94,122.5,1594933180,73.27,93,79,2.8
370,MY,4.64,103.44,1594933180,77.0,94,38,3.36
371,CN,36.62,101.77,1594933180,55.02,77,32,1.16
372,PY,-24.08,-55.5,1594933180,74.68,64,50,3.33
373,RU,60.41,57.08,1594932922,62.01,94,100,0.6
374,US,39.77,-86.16,1594932996,77.0,83,90,6.93
375,RU,62.86,42.71,1594933180,53.6,97,22,3.71
376,RU,53.6,91.39,1594933180,62.6,72,40,6.71
377,US,41.7,-71.42,1594933115,73.99,64,40,13.87
378,US,40.8,-96.67,1594933006,87.01,58,40,8.05
379,CA,50.1,-91.92,1594933181,71.6,73,40,6.93
380,PT,39.05,-27.98,1594933181,68.45,81,100,13.29
381,IN,25.2,75.1,1594933181,86.79,63,73,6.55
382,US,40.19,-92.58,1594933002,86.0,58,1,1.79
383,LY,31.76,25.09,1594933181,74.19,80,0,14.03
384,RU,49.22,131.63,1594933181,69.96,87,92,1.16
385,VN,9.29,105.72,1594933182,79.59,83,31,2.39
386,RE,-21.34,55.48,1594933182,68.0,68,75,6.93
387,BR,-2.92,-39.92,1594933182,79.41,72,0,13.49
388,JP,28.37,129.48,1594933182,78.8,94,75,12.75
389,ID,-9.11,124.89,1594933182,69.1,89,20,4.12
390,MG,-13.2,49.05,1594933182,68.52,84,26,2.42
391,CA,50.1,-108.48,1594933182,73.4,53,1,4.7
392,US,36.68,-121.66,1594933183,72.0,60,1,12.75
393,BR,-9.01,-35.22,1594933183,74.86,77,23,11.07
394,RU,53.13,47.2,1594933183,58.68,79,0,3.33
395,BR,-2.75,-42.83,1594933183,77.49,80,1,5.17
396,PG,-3.55,143.63,1594933183,78.85,82,38,3.29
397,KR,37.57,126.98,1594933087,69.8,94,1,0.94
398,CD,-6.75,23.95,1594933183,74.35,29,48,7.02
399,BF,12.66,-1.89,1594933183,77.0,88,20,3.36
400,RU,53.13,35.4,1594933184,51.76,93,98,5.08
401,HR,45.34,17.69,1594933184,69.01,64,96,2.24
402,RU,69.49,88.4,1594933184,48.2,93,40,13.42
403,NG,6.58,3.75,1594933184,75.2,94,20,3.36
404,UG,1.62,31.31,1594933184,67.44,87,100,0.83
405,PL,54.04,19.03,1594933184,61.0,87,20,5.82
406,SA,24.69,46.72,1594932903,96.8,14,38,8.05
407,LY,32.88,13.19,1594932937,78.03,83,0,10.87
408,CL,-22.09,-70.2,1594933185,70.84,44,97,10.83
409,IQ,34.48,41.91,1594933185,92.32,13,0,10.83
410,US,38.42,-121.42,1594932941,86.0,39,1,5.82
411,IN,11.67,92.75,1594933185,81.07,78,100,9.17
412,ID,-5.14,119.42,1594933185,75.2,100,90,2.24
413,IN,28.83,76.4,1594933185,93.56,47,61,5.08
414,MX,15.85,-97.07,1594933185,84.2,74,75,12.75
415,US,36.62,-121.92,1594933186,72.0,68,1,12.75
416,LK,6.12,81.12,1594933186,82.15,74,100,19.39
417,VN,11.3,106.1,1594933186,77.56,90,20,4.7
418,CN,37.36,120.4,1594933186,73.0,94,57,8.77
419,RS,43.58,20.23,1594933186,66.2,77,52,1.12
420,CF,4.62,21.89,1594933186,70.18,95,100,0.76
421,RU,68.05,39.51,1594933187,49.39,64,0,8.77
422,TR,41.43,27.09,1594933187,63.37,65,15,2.8
423,EG,26.73,33.94,1594933187,91.4,26,0,21.92
424,RU,68.53,146.42,1594933187,45.63,73,100,2.71
425,BR,-2.89,-40.12,1594933187,79.54,72,0,13.53
426,RU,52.46,39.37,1594933187,55.4,87,67,4.47
427,IT,44.86,10.07,1594933188,77.0,61,1,8.05
428,AR,-27.46,-58.98,1594933188,71.6,64,40,5.82
429,CV,14.92,-23.51,1594933188,78.8,69,75,10.29
430,CA,48.11,-69.02,1594933188,64.69,53,100,7.45
431,LR,5.88,-10.05,1594933188,75.2,94,40,5.44
432,PT,33.08,-16.33,1594933188,69.8,77,20,11.41
433,IN,12.25,79.23,1594933188,79.21,85,100,2.01
434,VU,-19.55,169.27,1594933189,68.0,88,17,5.82
435,RU,67.45,153.68,1594933189,48.06,60,100,8.3
436,RU,62.53,155.8,1594933189,52.11,86,100,9.64
437,CN,24.8,113.58,1594932898,77.86,86,100,2.39
438,OM,17.02,54.09,1594933023,82.4,94,75,6.93
439,KZ,52.45,64.63,1594933190,70.56,55,0,8.12
440,MY,3.17,113.03,1594933190,75.2,100,40,5.5
441,JP,26.18,127.76,1594933190,82.4,94,90,6.93
442,MX,21.65,-101.5,1594933190,78.58,27,44,11.97
443,BR,-17.6,-44.73,1594933190,73.87,48,57,6.51
444,US,28.2,-80.61,1594933049,91.0,66,1,10.29
445,BY,52.63,29.73,1594933190,56.68,78,27,3.67
446,US,37.2,-94.35,1594933191,91.0,58,1,12.75
447,CM,4.25,9.0,1594933191,75.2,100,75,8.05
448,CN,38.5,102.17,1594933191,65.5,50,45,2.95
449,HN,15.8,-84.28,1594933191,85.33,71,5,7.9
450,KH,13.49,106.98,1594933191,73.98,96,19,1.61
451,CN,30.63,117.85,1594933191,73.85,92,70,1.61
452,RU,60.05,69.9,1594933192,66.04,96,5,5.79
453,BY,52.21,24.36,1594933192,60.4,86,87,4.9
454,RU,60.73,77.59,1594933192,59.0,77,1,8.95
455,MU,-19.98,57.61,1594933192,68.0,80,3,1.99
456,ID,3.82,117.25,1594932908,71.35,98,73,1.14
457,PF,-16.7,-151.02,1594933192,75.0,90,100,16.67
458,BR,-16.18,-40.69,1594933192,68.04,84,81,4.14
459,CN,47.87,88.12,1594933192,67.48,39,18,8.79
460,PG,-3.67,152.43,1594933193,79.97,81,78,4.18
461,US,36.68,-101.48,1594933023,91.4,41,1,18.34
462,AU,-14.25,129.55,1594933193,61.38,37,0,5.5
463,GB,50.86,0.57,1594933166,64.99,88,87,5.82
464,CN,50.57,123.72,1594933193,64.47,93,92,1.36
465,AU,-41.07,145.92,1594933193,37.99,81,0,1.99
466,EG,26.77,31.5,1594933193,91.4,21,0,11.41
467,KZ,51.8,68.33,1594933193,65.57,52,18,9.33
468,DZ,36.1,0.42,1594933194,76.78,51,0,11.01
469,JO,30.32,35.48,1594933194,65.46,68,0,1.32
470,BS,24.9,-76.2,1594933194,83.77,76,92,13.4
471,CA,49.82,-94.43,1594933194,78.8,36,75,19.46
472,RU,46.71,142.53,1594933194,59.0,93,90,4.47
473,IN,17.83,76.62,1594933194,70.47,88,97,17.85
474,PE,-12.04,-77.03,1594932917,62.6,72,90,8.05
475,MY,2.43,103.84,1594933194,75.2,100,57,3.36
476,RU,65.58,-171.0,1594933194,51.24,77,98,4.41
477,SS,8.53,28.1,1594933195,74.01,85,87,3.51
478,RU,53.05,158.65,1594933195,53.6,100,90,2.24
479,PH,14.31,121.11,1594933195,82.0,78,0,1.01
480,RU,66.77,123.37,1594933195,61.65,84,98,10.8
481,IT,38.28,16.3,1594933195,77.0,78,20,2.24
482,GB,51.38,1.39,1594933195,64.99,82,95,1.01
483,IR,32.87,59.22,1594933195,77.0,31,0,6.93
484,US,45.02,-93.22,1594933196,84.2,39,20,11.41
485,CO,-3.77,-70.38,1594933196,89.6,66,40,2.24
486,CN,31.81,121.66,1594933196,73.0,91,51,3.0
487,MX,19.22,-104.7,1594932932,89.6,75,75,11.41
488,CD,-6.13,24.48,1594933196,72.57,33,19,6.91
489,US,20.89,-156.47,1594933196,84.2,66,40,20.8
490,PT,32.65,-17.07,1594933196,71.6,73,1,3.36
491,OM,22.57,59.53,1594933196,85.41,64,35,7.05
492,RU,52.52,99.83,1594933197,44.29,74,100,0.2
493,ER,13.93,41.69,1594933197,91.15,53,100,2.75
494,ID,-6.88,112.21,1594933197,76.05,81,0,8.39
495,CD,-0.22,20.87,1594933197,73.42,90,89,1.12
496,LY,30.76,20.23,1594933197,77.31,62,0,8.57
497,US,42.16,-72.33,1594933095,80.6,44,75,9.17
498,AR,-27.48,-58.83,1594933036,71.6,60,42,3.36
499,IN,22.9,73.83,1594933198,79.84,87,80,12.08
500,US,43.31,-73.64,1594933198,79.0,64,75,9.17
501,BR,-9.88,-56.09,1594933193,95.0,26,20,3.36
502,EG,24.09,32.91,1594933198,87.35,18,0,12.55
503,IN,20.0,77.0,1594933088,74.73,88,84,12.37
504,PK,28.89,64.41,1594933198,84.33,34,22,5.06
505,IN,22.24,68.97,1594933198,84.04,77,100,6.31
506,PH,16.22,121.6,1594933199,74.34,86,62,1.61
507,BR,-5.2,-35.46,1594933153,77.0,83,75,5.82
508,PH,6.37,126.17,1594933199,82.72,67,2,2.48
509,CA,60.82,-115.8,1594933199,60.8,72,75,14.99
510,US,40.8,-124.16,1594933199,70.0,72,20,6.93
511,RU,50.95,43.74,1594933199,61.0,67,2,2.89
512,US,40.81,-74.19,1594933199,79.0,53,75,12.75
513,AO,-14.92,13.49,1594933199,54.84,37,0,8.19
514,ES,37.47,-4.44,1594933200,84.99,36,0,6.29
515,US,41.0,-115.5,1594933200,91.4,7,1,5.82
516,LY,32.93,12.08,1594933200,77.9,83,0,12.93
517,PH,13.55,122.95,1594933200,79.75,85,58,4.38
518,NO,71.04,27.85,1594933201,51.8,93,96,4.7
519,NZ,-44.7,169.15,1594933203,28.99,84,20,3.0
520,CA,50.7,-127.42,1594933204,57.2,87,75,10.29
521,MY,2.02,112.93,1594933204,73.04,95,100,1.72
522,GL,66.94,-53.67,1594933205,49.42,74,28,5.91
523,NO,68.12,13.5,1594933205,57.2,87,40,8.05
524,LY,29.03,21.55,1594933206,84.15,39,0,13.85
525,AU,-32.72,152.15,1594933207,55.4,76,90,11.41
526,AR,-33.89,-60.57,1594932949,61.0,41,9,1.99
527,MX,15.74,-96.47,1594933207,90.0,62,90,13.87
528,US,38.44,-105.24,1594933207,87.8,22,1,8.05
529,MN,49.98,92.07,1594933208,60.46,57,7,4.54
530,ML,20.2,1.01,1594933208,92.21,30,25,12.21
531,US,40.74,-114.07,1594933208,89.6,10,1,8.05
532,US,58.3,-134.42,1594933203,64.4,68,40,8.05
533,JP,33.73,135.98,1594933209,70.14,90,100,3.87
534,CF,10.28,22.79,1594933210,72.21,91,100,2.62
535,CR,10.0,-83.03,1594933210,87.8,66,33,8.05
536,PH,13.31,123.34,1594933210,77.4,89,81,2.77
537,MX,20.7,-105.2,1594933075,90.0,74,75,13.87
538,NZ,-38.65,178.0,1594933211,52.0,84,100,4.0
539,IN,13.22,80.32,1594933211,80.6,88,75,3.36
540,CD,-4.45,26.67,1594933211,76.06,42,54,4.52
541,TZ,-10.07,38.93,1594933212,67.33,58,36,8.05
542,JP,42.33,142.37,1594933212,60.8,83,74,1.92
543,TR,38.69,35.55,1594933212,80.6,39,75,4.7
544,AU,-21.15,149.2,1594933212,41.0,86,0,5.82
545,ES,42.78,-9.06,1594933213,70.0,63,60,15.01
546,IT,37.83,12.67,1594933213,84.2,83,40,4.7
